Number,Hotel Names,Hotel Ratings,Number of Reviews,Hotel Prices
58,"Seafoam Shanty in the Shade- Side B- 10 mins to airport, 20 mins to beach",3.0,1 review,$113
59,Boho Bungalow,10,2 reviews,$113
60,Seychelles Beach Resort IV,8.4,299 reviews,$114
61,Seychelles Beach Resort III,8.5,354 reviews,$114
62,La Quinta Inn by Wyndham Tallahassee North,4.9,"1,372 reviews",$115
63,Pirates Cove In-Ground Pool 5 Beds 3 miles to Beach,unrated,no review,$117
64,Windancer Condominiums,7.9,55 reviews,$117
65,Flamingo Hotel & Tower,6.8,522 reviews,$118
66,Luau Condos,8.0,99 reviews,$118
67,"EmOCEANAL Seaport - Heated Pool, Quick Walk 2 Beach, Views of the Gulf",6.0,1 review,$119
68,"Brilliant in Bellview-Back unit-- Mins to NAS Pensacola, Beach, Shopping",9.1,11 reviews,$119
69,"2 C, Three Bedroom Townhome",9.0,6 reviews,$120
70,TOPS'L Summit III,8.6,102 reviews,$120
71,Baymont by Wyndham Tallahassee,6.3,735 reviews,$122
72,Extended Stay Pensacola,3.1,293 reviews,$122
73,The Red Haven Retreat,unrated,no review,$122
74,Fort Lauderdale Grand Hotel,4.5,"1,737 reviews",$123
75,Clarion Inn & Suites Kissimmee-Lake Buena Vista South,5.4,"1,312 reviews",$124
76,"Beachcomber Beachfront Hotel, a By The Sea Resort",6.4,"2,366 reviews",$126
77,"Holiday Terrace Beachfront Hotel, a By The Sea Resort",6.6,"1,140 reviews",$126
78,"Sugar Sands Beachfront Hotel, a By The Sea Resort",7.6,"2,212 reviews",$126
79,Renu at Jacksonville,8.3,342 reviews,$116
80,Sterling Shores IV,8.5,110 reviews,$128
81,Emerald Port of Call,10,2 reviews,$128
82,Laketown Wharf 834,8.8,12 reviews,$129
83,Days Inn by Wyndham Panama City Beach/Ocean Front,7.8,"3,638 reviews",$130
84,Eastern Shores,6.8,41 reviews,$130
85,The Beach Walk,unrated,3 external reviews,$130
86,Lil' Piece of Pensacola I Large Vacation Home I Gulf Coast I Florida,10,3 reviews,$132
87,TOPS'L Summit I,8.5,188 reviews,$132
88,Baymont by Wyndham Midway Tallahassee,6.5,432 reviews,$133
89,Ocean Front Units at Miami Beach,6.6,"1,928 reviews",$134
90,Aqua Resort,7.3,98 reviews,$134
91,Majestic Sun A,8.0,287 reviews,$135
92,Zen Living Suites Extended Stay - Jacksonville - Orange Park,3.4,366 reviews,$135
93,"Charming home with hot tub, minutes from the beach",8.7,26 reviews,$136
94,Maingate Lakeside Resort,4.0,"1,379 reviews",$122
95,Pelican Isle Condominiums,8.9,105 reviews,$137
96,Treasure Cottage,Exceptional 10,4 external reviews,$137
97,Sterling Shores III,8.5,49 reviews,$137
98,Space Coast Hotel Titusville-Kennedy Space Center,5.6,697 reviews,$138
99,Pineapple Villas,7.8,487 reviews,$139
100,Topaz Motel - Flagler Beach,6.4,949 reviews,$139
101,The Summit Condominiums,6.4,822 reviews,$142
